guid_oks,full_name,tip_oks,vid_stoi,f_name,sost_oks,stad_oks,sost_zem,name_tep,znach_tep,tep_oks,address_oks,region,mun_obr,latit_oks,longit_oks,create_date,zpo_n,zpo_k,ird_n,ird_k,pir_st,pir_fn,smr_st,smr_fn,plan_vvod,rol_org,zak_inn,zak_kpp,resp_mail
60883366-2ffb-46f9-9f1a-0194bf13a4a2,Наружное газоснабжение жилых домов в д. Болотово Чебаркульского района Челябинской области,Линейный объект,Строительство линейных объектов,12. Инженерные сети и объекты инфраструктуры,СМР,СМР,Не передана,Протяженность линейного ОКС,"6602,8",м.п.,д. Болотово,Челябинская область,Чебаркульский муниципальный район,"54,731968","60,252416",28.05.2025,01.04.2024,13.06.2024,21.07.2024,01.12.2024,11.12.2024,04.03.2025,04.04.2025,30.12.2025,16.03.2026,Заказчик,7415107297,741501001,ku-zubenko@mail.ru
ebd0fc1f-d411-4db8-8a7b-df53c66497e8,Капитальный ремонт наружных сетей теплоснабжения (участок от ТК-4-ТК№5-ТК№6-ТК№36-ТК№14-ТК№15-ТК№16) по ул. Маландина в п. Тимирязевский Чебаркульского района Челябинской области,Линейный объект,Капитальный ремонт линейных объектов,12. Инженерные сети и объекты инфраструктуры,СМР,СМР,Передана условно,Протяженность линейного ОКС,1228,м.п.,ул. Маландина в п. Тимирязевский,Челябинская область,Чебаркульский муниципальный район,"54,927693","60,764748",28.05.2025,30.05.2024,23.08.2024,01.09.2024,27.12.2024,13.01.2025,11.04.2025,14.04.2025,27.01.2026,30.01.2026,Заказчик,7415107297,741501001,
7a70bb81-deee-4852-8852-d188fec39320,"Капитальный ремонт наружных сетей теплоснабжения по адресу: Челябинская область, Чебаркульский район, п. Тимирязевский, ул. Мичурина",Линейный объект,Капитальный ремонт линейных объектов,12. Инженерные сети и объекты инфраструктуры,СМР,СМР,Передана условно,Протяженность линейного ОКС,1408,м.п.,ул. Мичурина в п. Тимирязевский,Челябинская область,Чебаркульский муниципальный район,"54,928483","60,761045",28.05.2025,05.06.2024,07.10.2024,09.10.2024,27.12.2024,13.01.2025,07.04.2025,08.04.2025,25.03.2026,28.03.2026,Заказчик,7442006273,741501001,ku-zubenko@mail.ru
ae5b31f1-3ce4-45dd-8464-58cf608aa1a5,Капитальный ремонт наружных сетей теплоснабжения по ул.8 Марта в с. Филимоново  Чебаркульского района Челябинской области,Линейный объект,Капитальный ремонт линейных объектов,12. Инженерные сети и объекты инфраструктуры,СМР,СМР,Передана условно,Протяженность линейного ОКС,705,м.п.,ул. 8 Марта в с. Филимоново,Челябинская область,Чебаркульский муниципальный район,"54,714936","60,073938",28.05.2025,17.05.2023,17.11.2023,10.01.2024,18.04.2024,12.06.2024,12.12.2024,08.04.2025,31.12.2025,16.02.2026,Заказчик,7415107297,741501001,ku-zubenko@mail.ru
b646d964-7e3f-429d-91f6-ba6c01881d29,"Выполнение строительно-монтажных работ по объекту ""Капитальный ремонт автомобильной дороги по улице Советской в пос. Увельский""",Линейный объект,Капитальный ремонт линейных объектов,"04.01.001.002 Дорога, улица в границах населенного пункта",СМР,СМР,"Свободна, передана",Протяженность линейного ОКС,1623,м,"п. Увельский, ул. Советская",Челябинская область,Увельский муниципальный район,"54,439303","61,349652",11.06.2025,15.04.2025,10.05.2025,15.04.2025,10.05.2025,15.04.2025,10.05.2025,10.05.2025,31.12.2025,19.03.2026,Заказчик,7451471365,745101001,mariiavakhrusheva@yandex.ru
6d22401c-44a0-4776-a4fb-b65b737a2023,"Выполнение работ по «Капитальному ремонту инженерных сетей - водовода (г. Челябинск, Шершневское водохранилище - г. Коркино, ул. Деповская)». Участок №1, «Капитальному ремонту инженерных сетей - водовода (г. Челябинск, Шершневское водохранилище - г. Коркино, ул. Деповская)». Участок №2, «Капитальному ремонту инженерных сетей - водовода (г. Челябинск, Шершневское водохранилище - г. Коркино, ул. Деповская)». Участок №4",Линейный объект,Капитальный ремонт линейных объектов,12. Инженерные сети и объекты инфраструктуры,СМР,Передача Строительной площадки Подрядчику/Генеральному Подрядчику,"Свободна, передана",Длина/диаметр,"1242,5/700",м/мм,"г. Челябинск, Шершневское водохранилище - г. Коркино, ул. Деповская",Челябинская область,Коркинский муниципальный округ,"23,185274","59,321492",24.06.2025,08.11.2023,08.11.2023,01.05.2023,30.05.2023,01.05.2023,30.05.2023,01.07.2025,30.04.2026,30.04.2026,Заказчик,7412003162,743001001,silivanovvn@mail.ru
e3a01875-0723-4979-8e77-a77ada1b80e5,Капитальный ремонт водопровода от ВК-37 до ВК-46 по ул. Щербакова в г. Нязепетровске Челябинсакой области,"ОКС, (за исключением линейных)","Капитальный ремонт ОКС, не являющийся линейным или ОКН",12.01.004.001 Линейное сооружение сети водоснабжения,СМР,СМР,Свободна,Протяженность,"367,5",метр,"Че5лябинская область, г. Нязепетровск, ул. Щербакова от ВК-37 до ВК-46",Челябинская область,Нязепетровский муниципальный округ,"56,053829","59,597003",21.08.2025,,,,,01.04.2025,30.07.2025,01.08.2025,28.04.2026,30.04.2026,Заказчик,7402010570,745901001,
270c2557-c594-46c5-98c5-c225e4776401,Строительство автомобильной дороги от ул. Обуховской до ул. Горелова,Линейный объект,Строительство линейных объектов,"04.01.001.002 Дорога, улица в границах населенного пункта",СМР,СМР,"Свободна, передана",Категория- улица в зоне жилой застройки местного значения,"0,20204",км,"Челябинская область, г. Челябинск. Ленинский район",Челябинская область,Челябинский,"55,71782","61,29532",08.09.2025,,,,,30.04.2025,10.06.2025,15.06.2025,20.07.2026,30.12.2026,Заказчик,7451227906,744801001,sdo-gti@mail.ru
cab193fd-0ab8-41c8-931d-67f801743451,Капитальный ремонт здания женской консультации ГАУЗ ОЗП «ГКБ № 8 г.Челябинск»,"ОКС, (за исключением линейных)","Капитальный ремонт ОКС, не являющийся линейным или ОКН",03.01.006.003 Здание женской консультации,СМР,СМР,Занята,"Капитальный ремонт здания женской консультации ГАУЗ ОЗП «ГКБ № 8 г. Челябинск по адресу: г. Челябинск, ул. Котина, 37а",Женская консультация,"здание общей площадью 2393,89м.кв.","г. Челябинск, ул. Котина, 37а",Челябинская область,Челябинский,"55,174069","61,442872",19.09.2025,,,,,01.05.2024,01.12.2025,20.12.2024,30.04.2026,25.05.2026,Заказчик,7452000312,745201001,hoz@chelgkb8.ru
ff357bb7-45dd-418e-80cb-96e0a1662f3b,"капитальный ремонт объекта муниципальной собственности Златоустовского городского округа – нежилое помещение (подвал (убежище) кадастровый номер: 74:25:0308205:99, расположенное по адресу: Челябинская область, г. Златоуст, пр. Мира",,"Капитальный ремонт ОКС, не являющийся линейным или ОКН",03.02. Объекты для кратковременного проживания,СМР,СМР,Свободна,229,площадь объекта,м2,"нежилое помещение (подвал (убежище) кадастровый номер: 74:25:0308205:99, расположенное по адресу: Челябинская область, г. Златоуст, пр. Мира",Челябинская область,Златоустовский,"55,126966","59,679208",25.09.2025,,,,,02.07.2025,31.12.2025,22.07.2025,31.05.2026,01.06.2026,Заказчик,7404055142,740401001,ukszlat@yandex.ru
a39a232d-7adf-4959-8cfc-bbc4ac852c9b,Капитальный ремонт автодороги по ул. Мамина Сибиряка – ул. Мира (от перекрестка ул. Освобождения Урала и ул. Мамина Сибиряка до автодороги Миасс-Карабаш-Кыштым) в г. Кыштыме Челябинской области,"ОКС, (за исключением линейных)","Капитальный ремонт ОКС, не являющийся линейным или ОКН","04.01.001.002 Дорога, улица в границах населенного пункта",СМР,СМР,Передана частично,,,,г. Кыштым,Челябинская область,Кыштымский,"55,69704","60,51007",14.10.2025,,,,,02.07.2025,18.08.2025,25.08.2025,01.04.2026,01.05.2026,Заказчик,7413000326,741301001,irina.sigovasafina@mail.ru
c0193875-dd1c-4991-8c75-9f8e2301b915,"Выполнение строительно-монтажных работ по объекту: ""Строительство автомобильного моста через р. Зюзелга в пос. Есаульский Сосновского района Челябинской области",Линейный объект,"Строительство ОКС, не являющийся линейным или ОКН",04.06.001.001 Сооружение автодорожного моста,СМР,СМР,"Свободна, передана",Протяжение,265,м,"Российская Федерация, Челябинская область, Сосновский р-н, п. Есаульский",Челябинская область,Сосновский муниципальный район,"55,29776","61,2207",29.10.2025,,,,,07.10.2024,12.09.2025,07.10.2025,20.07.2026,30.08.2026,Заказчик,7438002100,746001001,
a10098be-0f9c-47b6-924a-ddc62933d7f8,Реконструкция объектов городской инфраструктуры г. Магнитогорска. Очистные сооружения левого берега,"ОКС, (за исключением линейных)",Приспособление объекта культурного наследия для современного использования,12.01.002.004 Сооружение очистки сточных вод,ПИР,"ПИР завершены, торги на СМР не начаты",,Мощность очистных сооружений до начала работ по реконструкции,47000,тыс. куб. м в сутки,"Россия, Челябинская область, г. Магнитогорск, Очистные сооружения левого берега",Челябинская область,г Магнитогорск,,,06.11.2025,,,08.04.2019,31.12.2028,08.04.2019,17.12.2021,01.03.2026,31.10.2028,31.12.2028,Заказчик,7414000495,745601001,nikolaeva_eg@magvoda.ru
